#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
5.0%	1000	-320900.59753580904	303.3649758886941	0	--
10.0%	2000	-321407.51953203394	299.45688646786624	19.2	2:42
15.0%	3000	-320411.66054145456	302.8473706146896	19.2	2:33
20.0%	4000	-321292.2067739791	301.26159490279247	19.1	2:24
25.0%	5000	-320970.7033105821	298.39118316655674	19.1	2:15
30.0%	6000	-321347.9161578277	301.32484156968013	19.1	2:06
35.0%	7000	-319850.4911065153	296.92321428034586	18.9	1:59
40.0%	8000	-319925.03186650155	299.3825586001414	18.8	1:50
45.0%	9000	-321377.15630423464	301.86032416120094	18.8	1:41
50.0%	10000	-321416.7520370956	300.25254392669973	18.7	1:32
55.0%	11000	-321037.0897074612	299.7094636088377	18.7	1:23
60.0%	12000	-321881.924601604	301.17625372890785	18.6	1:14
65.0%	13000	-320824.13482133695	300.4410010555952	18.6	1:05
70.0%	14000	-320449.8046384752	301.38478833962034	18.6	0:55
75.0%	15000	-320137.38361953315	299.560892590602	18.6	0:46
80.0%	16000	-320845.0963630732	297.277776898	18.6	0:37
85.0%	17000	-321147.6958691338	300.1264657210281	18.6	0:27
90.0%	18000	-321012.81262629945	300.3047359867559	18.6	0:18
95.0%	19000	-320065.52734856354	298.6921153393513	18.6	0:09
100.0%	20000	-319828.41391372285	299.2639983840118	18.6	0:00
105.0%	21000	-320785.35686392104	303.88293636526635	18.6	23:59:51
110.0%	22000	-321211.0124769991	302.04883571228504	18.6	23:59:42
115.0%	23000	-321764.3669956636	297.6052040342673	18.6	23:59:33
120.0%	24000	-320592.97971147625	300.6143755307916	18.6	23:59:23
125.0%	25000	-320915.05100340256	301.40848535152304	18.6	23:59:14
130.0%	26000	-320947.023971607	293.9754676025406	18.6	23:59:05
135.0%	27000	-320822.386057592	300.1774025589577	18.6	23:58:55
140.0%	28000	-320795.74728732347	301.8394628019675	18.6	23:58:46
145.0%	29000	-320075.392827776	301.0420260724495	18.6	23:58:37
150.0%	30000	-320266.69974763715	301.0230394981422	18.6	23:58:27
155.0%	31000	-320995.70028864825	300.6714995816555	18.6	23:58:18
160.0%	32000	-319359.69732602057	301.0729759429688	18.6	23:58:09
165.0%	33000	-320742.28910177224	299.4399031050171	18.6	23:58:00
170.0%	34000	-321053.9658033701	297.0155619460949	18.6	23:57:50
175.0%	35000	-321240.5384843028	299.4332797395231	18.6	23:57:41
180.0%	36000	-321177.34592290525	297.6330100318044	18.6	23:57:32
185.0%	37000	-320845.7382867439	297.33691943973497	18.6	23:57:22
190.0%	38000	-320388.4337460024	300.45383536310663	18.6	23:57:13
195.0%	39000	-320256.85308598354	300.37852690066927	18.6	23:57:04
200.0%	40000	-320819.3134892066	303.2430836839476	18.6	23:56:55
205.0%	41000	-319577.6923398017	298.5840522940184	18.6	23:56:45
210.0%	42000	-320767.7432523959	300.2942267475577	18.6	23:56:36
215.0%	43000	-321336.0820662165	299.91502960498326	18.6	23:56:26
220.0%	44000	-321885.4438290396	296.1151507405225	18.6	23:56:17
225.0%	45000	-321056.92066680244	297.9922021317866	18.6	23:56:08
230.0%	46000	-320999.9502552869	301.58388965050705	18.6	23:55:59
235.0%	47000	-320649.2920443823	298.4325894099913	18.6	23:55:50
240.0%	48000	-321781.6854459301	298.70841287614144	18.6	23:55:40
245.0%	49000	-321299.5750922726	296.45096651138044	18.6	23:55:31
250.0%	50000	-320906.8796692195	298.3248349454016	18.6	23:55:22
255.0%	51000	-320243.21665471466	298.9650900156804	18.6	23:55:12
260.0%	52000	-320391.1368874952	298.2609621291282	18.6	23:55:03
265.0%	53000	-321952.11133152014	301.4244678081087	18.6	23:54:54
270.0%	54000	-320985.96738155256	297.7075760777473	18.6	23:54:44
275.0%	55000	-320891.0781365682	297.9476660236148	18.6	23:54:35
280.0%	56000	-320696.1560951483	299.8095085042115	18.6	23:54:26
285.0%	57000	-319586.14204585226	298.7871312439386	18.6	23:54:17
290.0%	58000	-320269.18929692777	300.6206147049914	18.6	23:54:07
295.0%	59000	-320901.0506907834	300.13116481157357	18.6	23:53:58
300.0%	60000	-320091.67224073363	296.43836636430194	18.6	23:53:49
305.0%	61000	-320433.0201994525	301.07037381574236	18.6	23:53:40
310.0%	62000	-320888.08526439127	301.8402705826721	18.6	23:53:30
315.0%	63000	-320833.891996128	300.99780569858945	18.6	23:53:21
320.0%	64000	-321747.2948151082	302.10361605332076	18.6	23:53:12
325.0%	65000	-320434.21995910513	301.7651890751154	18.6	23:53:02
330.0%	66000	-320743.7749855174	297.787951892965	18.6	23:52:53
