#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
5.0%	1000	-321755.12272827	299.20325033586397	0	--
10.0%	2000	-321339.79658743506	299.64485238916023	19.2	2:42
15.0%	3000	-321554.510773072	302.4101697589116	19.2	2:33
20.0%	4000	-322746.719190245	299.19438563483374	19.1	2:24
25.0%	5000	-322124.89285946125	296.49894231600695	19.1	2:15
30.0%	6000	-321967.8430223635	296.80722745861164	19.1	2:06
35.0%	7000	-320835.16706117196	301.24194538226095	18.9	1:59
40.0%	8000	-321061.4883280578	298.14235030186563	18.8	1:50
45.0%	9000	-322118.82365532406	299.32879795367006	18.8	1:41
50.0%	10000	-321978.9666714384	301.750713143512	18.7	1:32
55.0%	11000	-321663.22176030045	302.0140692249222	18.7	1:23
60.0%	12000	-321543.1220935201	297.251011537615	18.6	1:14
65.0%	13000	-321768.98895653477	302.2655150874563	18.6	1:05
70.0%	14000	-320807.8860330386	303.15523765080195	18.6	0:55
75.0%	15000	-320035.60103553976	303.55136263166327	18.6	0:46
80.0%	16000	-319886.34676224063	297.92605530073	18.6	0:37
85.0%	17000	-320836.385911596	300.977066551051	18.6	0:27
90.0%	18000	-321892.84074705467	305.4331989314913	18.6	0:18
95.0%	19000	-321312.8869514705	301.0820928261383	18.6	0:09
100.0%	20000	-321162.1170958376	297.4138003138684	18.6	0:00
105.0%	21000	-322326.2106078996	298.15968505440134	18.6	23:59:51
110.0%	22000	-321763.4232578499	298.3873346173109	18.6	23:59:42
115.0%	23000	-321261.12101952825	299.3097529097866	18.6	23:59:33
120.0%	24000	-321609.822755306	298.03399150352584	18.6	23:59:23
125.0%	25000	-322863.59968614904	296.38194760893987	18.6	23:59:14
130.0%	26000	-322154.3090335503	300.2177727582256	18.6	23:59:05
135.0%	27000	-321210.1592027901	301.52900380576904	18.6	23:58:55
140.0%	28000	-321351.2981191145	300.4171627210388	18.6	23:58:46
145.0%	29000	-320920.85879706684	296.9427166513066	18.6	23:58:37
150.0%	30000	-321231.55888084625	302.6549020114547	18.6	23:58:27
155.0%	31000	-321871.88590816874	299.868759609665	18.6	23:58:18
160.0%	32000	-321903.42380091245	300.0694856434982	18.6	23:58:09
