#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
2.4%	480000	-30325.905269156967	295.41006279787484	115	8:07:21
2.4%	485000	-30101.7115838076	294.3981505854768	115	8:07:16
2.5%	490000	-30137.03053976313	297.24705954101864	115	8:07:18
2.5%	495000	-29972.816869769857	304.6075978047703	115	8:07:12
2.5%	500000	-30168.40159744158	300.5934689151773	115	8:07:10
2.5%	505000	-30085.478521125595	294.9629875015608	115	8:07:05
2.5%	510000	-30144.310020791338	301.4458967973359	115	8:07:02
2.6%	515000	-29962.063545339857	301.6060469004568	115	8:06:58
2.6%	520000	-29847.12996209864	305.484852644821	115	8:06:53
2.6%	525000	-29979.927031157422	297.29918851941125	115	8:06:51
2.6%	530000	-29803.325798733073	295.0278992588448	115	8:06:47
2.7%	535000	-30118.13590365852	306.160983625597	115	8:06:43
2.7%	540000	-29659.600712685526	298.3566166639361	115	8:06:40
2.7%	545000	-30137.67638129121	297.4730054356381	115	8:06:36
2.8%	550000	-30020.12910050669	299.722051543368	115	8:06:33
2.8%	555000	-30131.445766084595	293.93954297102863	115	8:06:28
2.8%	560000	-30140.755541453196	297.52052122406434	115	8:06:26
2.8%	565000	-30134.602322809544	289.89130018433184	115	8:06:20
2.9%	570000	-29918.312644302292	295.3419085295424	115	8:06:16
2.9%	575000	-29965.922089587926	303.68644257486	115	8:06:11
2.9%	580000	-29964.05485845555	312.05594089169364	115	8:06:08
2.9%	585000	-29829.875528207544	308.37812617896907	115	8:06:05
3.0%	590000	-29984.396556990978	296.0628710253007	115	8:06:01
3.0%	595000	-30237.9363320212	311.8045612011616	115	8:05:58
3.0%	600000	-29878.47737763272	297.8277832319968	115	8:05:57
3.0%	605000	-30165.178453836357	299.9679486576637	115	8:05:52
3.0%	610000	-29846.937146125827	305.5346176214882	115	8:05:48
3.1%	615000	-29818.46358019655	300.3825798612903	115	8:05:44
3.1%	620000	-29767.157715311012	310.9523313257485	115	8:05:41
3.1%	625000	-30197.66225463219	303.2019538089448	115	8:05:38
3.1%	630000	-29796.040815335815	300.2058064088751	115	8:05:34
3.2%	635000	-30132.514913982886	299.54243365848356	115	8:05:32
3.2%	640000	-30040.23719998295	294.7445734461257	115	8:05:25
3.2%	645000	-30022.219302769314	301.384301894292	115	8:05:23
3.2%	650000	-30160.5538879362	291.0699077237536	115	8:05:17
3.3%	655000	-30124.48206216807	298.43808350398416	115	8:05:15
3.3%	660000	-29805.15052693023	300.0317134336141	115	8:05:11
3.3%	665000	-30097.01746729933	306.1404046912571	115	8:05:08
3.4%	670000	-29753.0294933072	303.77879338804917	115	8:05:03
3.4%	675000	-30031.110038701067	291.2481459915639	115	8:05:00
3.4%	680000	-29780.82150058	302.0790591646544	115	8:04:56
3.4%	685000	-29996.28772573109	290.3078587852441	115	8:04:54
3.5%	690000	-30071.272573506372	300.1784793703912	115	8:04:49
3.5%	695000	-29927.256379033526	297.7214268370316	115	8:04:49
3.5%	700000	-29917.514663346286	286.27765316594594	115	8:04:43
3.5%	705000	-30118.87728138824	299.3314864364865	115	8:04:42
3.5%	710000	-30371.081648837746	299.05672135010457	115	8:04:38
3.6%	715000	-29910.363046326675	291.29038624436834	115	8:04:35
3.6%	720000	-29972.23992965877	311.09309238312755	115	8:04:30
3.6%	725000	-29893.48282989292	301.9698859789874	115	8:04:27
3.6%	730000	-30183.285971268633	300.4210590183328	115	8:04:19
3.7%	735000	-29933.759353800124	304.20773466375937	115	8:04:14
3.7%	740000	-30190.0873248234	304.9330077526172	115	8:04:06
3.7%	745000	-29752.409640376427	297.84199068185126	115	8:04:02
3.8%	750000	-29900.537859992735	302.5193535720384	115	8:03:52
3.8%	755000	-29919.99456977361	300.03093810370217	115	8:03:48
3.8%	760000	-30103.775910962955	297.6122235360247	115	8:03:39
3.8%	765000	-30271.465558479744	304.927363560464	115	8:03:34
3.9%	770000	-29841.608593847952	302.22129816053786	115	8:03:26
3.9%	775000	-29781.941237540188	303.7226773869613	115	8:03:21
3.9%	780000	-29692.027322341164	297.9706244791277	115	8:03:14
3.9%	785000	-30303.46316581007	301.37979783837153	115	8:03:12
4.0%	790000	-29527.352492259583	299.76058560859497	115	8:03:06
4.0%	795000	-30225.38880752705	304.1676474867865	115	8:03:03
4.0%	800000	-30057.074325161637	304.0751287376771	114	8:02:58
4.0%	805000	-30188.30649921848	301.3029161696633	114	8:02:55
4.0%	810000	-29768.48499064776	307.18318107749604	114	8:02:48
4.1%	815000	-30199.745471271308	291.6033411506487	114	8:02:39
4.1%	820000	-29743.882598960132	304.4588870939596	114	8:02:34
4.1%	825000	-29754.811097257945	310.4988805461422	114	8:02:26
4.2%	830000	-30227.74309192825	315.8354186216178	114	8:02:20
4.2%	835000	-30132.396218291018	286.36872602221456	114	8:02:10
4.2%	840000	-29842.702644713863	308.33453710537805	114	8:02:05
4.2%	845000	-29837.12407902372	297.8013260364411	114	8:01:57
4.2%	850000	-29957.50506773137	300.0125649232592	114	8:01:52
4.3%	855000	-29853.657201198366	303.97852274214733	114	8:01:46
4.3%	860000	-29751.45077423213	294.0777064631633	114	8:01:42
4.3%	865000	-29913.66973577623	310.7562794766489	114	8:01:35
4.3%	870000	-29822.5132677067	304.29767218299514	114	8:01:29
4.4%	875000	-30020.37698580153	300.831314826702	114	8:01:21
4.4%	880000	-29962.518305174395	300.8151075106276	114	8:01:12
4.4%	885000	-30044.347243240336	304.6350346806249	114	8:01:04
4.5%	890000	-30134.77521978531	304.6205290145813	114	8:00:56
4.5%	895000	-30046.192895572865	300.0577226871327	114	8:00:48
4.5%	900000	-29969.325211738964	317.6252673563813	114	8:00:40
4.5%	905000	-29908.619273079326	298.4168199469936	114	8:00:32
4.5%	910000	-29938.38574302892	299.0757837693807	114	8:00:24
4.6%	915000	-29843.346734984254	296.4551435255559	114	8:00:17
4.6%	920000	-29889.199974857096	308.3927833805722	114	8:00:09
4.6%	925000	-29904.284151787113	306.2143349315527	114	8:00:01
4.7%	930000	-30058.47567206467	304.4206974049724	114	7:59:55
4.7%	935000	-30063.817120846186	303.4186051253357	114	7:59:47
4.7%	940000	-29723.16227821773	301.87192307949914	114	7:59:40
4.7%	945000	-30312.735674099473	303.2396306807778	114	7:59:34
4.8%	950000	-29996.80039857456	305.81582399715643	114	7:59:28
4.8%	955000	-29990.46679404279	304.90841513545746	114	7:59:22
4.8%	960000	-29976.656977004313	294.7701364748417	114	7:59:16
4.8%	965000	-30000.538739854645	309.79425334789505	114	7:59:09
4.8%	970000	-29886.57035638977	300.6703356440243	114	7:59:01
4.9%	975000	-30040.50455903026	298.99082697258245	114	7:58:54
4.9%	980000	-29712.205905967217	292.28892753730344	114	7:58:47
4.9%	985000	-29647.139369197073	308.3011057331997	114	7:58:42
5.0%	990000	-30040.07406211138	305.2978428461704	114	7:58:37
