#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
5.0%	1000	-320992.88863141416	301.40843948782714	0	--
10.0%	2000	-320604.9169321165	301.29670008659485	19.6	2:38
15.0%	3000	-321709.18796503334	299.896440888002	19.5	2:30
20.0%	4000	-321370.64999066433	300.73490491272327	19.1	2:24
25.0%	5000	-320154.75857157935	295.68117442892174	19.2	2:14
30.0%	6000	-320282.6264572891	300.85449475447234	19.3	2:05
35.0%	7000	-321966.23166093114	297.83783730908794	18.9	1:59
40.0%	8000	-321716.4442267015	298.455485316336	18.9	1:49
45.0%	9000	-321388.61411529174	298.979640811502	18.8	1:40
50.0%	10000	-321346.53561678017	295.8207723771639	18.7	1:32
55.0%	11000	-320988.3491933928	300.0234204443862	18.7	1:23
60.0%	12000	-321247.8159241581	297.2945419443529	18.7	1:14
65.0%	13000	-321461.6515121802	299.8920632900633	18.6	1:05
70.0%	14000	-320788.14044423774	299.12181021340893	18.6	0:55
75.0%	15000	-321676.0848230771	303.00844022379766	18.7	0:46
80.0%	16000	-320912.64510152466	300.92178008789716	18.6	0:37
85.0%	17000	-320409.76946271234	300.7951104922785	18.6	0:27
90.0%	18000	-321224.8400271777	301.0435685210888	18.6	0:18
95.0%	19000	-321622.2076848566	301.2791860021125	18.6	0:09
100.0%	20000	-320770.29497643095	301.15212922464724	18.6	0:00
105.0%	21000	-320643.6705128795	301.6908363577123	18.6	23:59:51
110.0%	22000	-320574.29845390166	297.9188489784868	18.6	23:59:42
115.0%	23000	-320944.63918029424	298.5679748811995	18.6	23:59:33
120.0%	24000	-321158.92302378407	297.4848587367999	18.6	23:59:23
125.0%	25000	-321114.89721638616	301.502394572928	18.6	23:59:14
130.0%	26000	-320970.31714536785	297.08474729213583	18.6	23:59:05
135.0%	27000	-321216.3763748128	298.7500763237105	18.6	23:58:55
140.0%	28000	-321140.1858133604	298.74255099043535	18.6	23:58:46
145.0%	29000	-320132.9525020353	298.23898356888634	18.6	23:58:37
150.0%	30000	-320813.4949012033	302.19040694596794	18.6	23:58:28
155.0%	31000	-321312.8357545459	300.07683389773996	18.6	23:58:18
160.0%	32000	-320938.4365614359	299.6573818201438	18.6	23:58:09
165.0%	33000	-320689.4204707425	298.56757233449116	18.6	23:58:00
170.0%	34000	-321472.0879191642	300.90539852479486	18.6	23:57:50
175.0%	35000	-320675.0785713128	301.32514198449377	18.6	23:57:41
180.0%	36000	-320850.7799279082	300.96901308904353	18.6	23:57:32
185.0%	37000	-321141.21925349394	300.13682300798484	18.6	23:57:22
190.0%	38000	-320821.7060350515	299.0011838799801	18.6	23:57:13
195.0%	39000	-320384.3471083471	300.56415206784965	18.6	23:57:04
200.0%	40000	-320791.228658719	300.5829149788892	18.6	23:56:55
205.0%	41000	-320786.7240829435	300.9747524452982	18.6	23:56:45
210.0%	42000	-321531.87139651924	299.9795722663404	18.6	23:56:36
215.0%	43000	-321047.91191498935	301.29343607562174	18.6	23:56:26
220.0%	44000	-320420.14737066766	300.4186957069819	18.6	23:56:17
225.0%	45000	-320905.4671328303	300.10828654376957	18.6	23:56:08
230.0%	46000	-319954.5973904466	300.3044543279766	18.6	23:55:59
235.0%	47000	-319702.8610329253	303.59952686421553	18.6	23:55:50
