#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
2.4%	480000	-30007.67401296494	300.8299335619248	116	8:03:34
2.4%	485000	-30314.104961804842	302.21924221041127	116	8:03:25
2.5%	490000	-29675.435568104615	307.3656321552777	116	8:03:25
2.5%	495000	-29974.116888155142	298.3544699761638	116	8:03:17
2.5%	500000	-29864.636091523775	301.8374452752963	116	8:03:12
2.5%	505000	-29999.75891147222	299.9927964846238	116	8:03:09
2.5%	510000	-30183.806879583455	301.52177843884834	116	8:03:02
2.6%	515000	-30257.699296370265	295.96003228542764	116	8:02:57
2.6%	520000	-30049.715152804798	288.85706465569905	116	8:02:51
2.6%	525000	-29824.940359390457	296.8707677706562	116	8:02:46
2.6%	530000	-29980.130145749805	301.8902695765788	116	8:02:41
2.7%	535000	-29803.98002349434	300.7997228064033	116	8:02:35
2.7%	540000	-29994.526137590612	293.2166603761781	116	8:02:32
2.7%	545000	-29806.151578776276	304.71135312111664	116	8:02:25
2.8%	550000	-30019.25521901663	303.21984358885123	116	8:02:23
2.8%	555000	-29826.638466996403	297.2928564322592	116	8:02:16
2.8%	560000	-30021.300741390063	300.83915490180243	116	8:02:13
2.8%	565000	-29993.036785424978	292.1872449478912	116	8:02:08
2.9%	570000	-30451.862755820126	305.57755222810096	116	8:02:03
2.9%	575000	-29957.983149752865	306.2048763001767	116	8:01:59
2.9%	580000	-29765.910056636756	306.9832686222745	116	8:01:54
2.9%	585000	-30246.50746736914	312.76599135142453	116	8:01:50
3.0%	590000	-29892.16152061973	286.2553340265518	116	8:01:46
3.0%	595000	-29801.19679616604	304.7066799138742	116	8:01:41
3.0%	600000	-30406.95567767817	302.1735032154639	116	8:01:42
3.0%	605000	-29984.689886969194	305.381038602672	116	8:01:36
3.0%	610000	-30034.784378940414	303.17161204415476	116	8:01:36
3.1%	615000	-30135.47338072321	294.4952731447237	116	8:01:32
3.1%	620000	-29930.816956900904	304.1147435999024	116	8:01:32
3.1%	625000	-29722.215661327296	302.02035138065133	116	8:01:29
3.1%	630000	-30023.14012531747	296.07767049235036	116	8:01:27
3.2%	635000	-30242.673716888792	298.69798099934343	116	8:01:25
3.2%	640000	-30148.884825333487	303.13184014281296	116	8:01:21
3.2%	645000	-30116.698481032072	303.44628953271985	116	8:01:19
3.2%	650000	-29963.545841034473	305.72295816484177	116	8:01:18
3.3%	655000	-30305.840957415145	298.2061964858663	116	8:01:14
3.3%	660000	-30096.342419345572	300.1667777735528	116	8:01:12
3.3%	665000	-29845.46506158632	303.08070408859624	116	8:01:08
3.4%	670000	-30068.24685555839	301.70953452542346	116	8:01:05
3.4%	675000	-30211.919887737226	303.85365296242514	116	8:01:00
3.4%	680000	-29784.746345878084	297.3391919826955	116	8:00:58
3.4%	685000	-30108.691329907364	303.63007281302976	116	8:00:57
3.5%	690000	-30236.751584698126	301.5597918507117	116	8:00:53
3.5%	695000	-29998.782481715083	296.28106970217044	116	8:00:50
3.5%	700000	-29933.14601642781	302.3122603218921	116	8:00:44
3.5%	705000	-29768.570760782663	303.42067276515746	116	8:00:40
3.5%	710000	-30062.271096648416	299.32729828196756	116	8:00:39
3.6%	715000	-29960.071434747922	294.71694184008606	116	8:00:36
3.6%	720000	-30136.576697235956	290.57660809324256	116	8:00:36
3.6%	725000	-29954.87583015769	306.54950001496326	116	8:00:31
3.6%	730000	-29744.77248388907	299.50304458867197	116	8:00:26
3.7%	735000	-30211.357697072002	297.1342991961825	116	8:00:22
3.7%	740000	-29823.323545599822	293.29754917277126	115	8:00:16
3.7%	745000	-29808.671145657136	309.027948246034	115	8:00:12
3.8%	750000	-30073.65575121931	301.5494369521063	115	8:00:07
3.8%	755000	-30297.13943054169	301.9250557896937	115	8:00:04
3.8%	760000	-29998.222396741476	301.38093766488004	115	7:59:59
3.8%	765000	-30031.299903829815	306.7805272243167	115	7:59:58
3.9%	770000	-29818.382728079276	298.7485770208638	115	7:59:53
3.9%	775000	-29997.451357024343	296.705388939707	115	7:59:51
3.9%	780000	-29803.799547820032	299.3182411683171	115	7:59:46
3.9%	785000	-29946.904833099747	298.82843747473527	115	7:59:44
4.0%	790000	-29948.813761917147	289.93175526840827	115	7:59:38
4.0%	795000	-30141.46871273688	304.39535770457394	115	7:59:34
4.0%	800000	-29920.385483461374	299.3937707789119	115	7:59:27
4.0%	805000	-30233.562081904005	310.0104176515464	115	7:59:24
4.0%	810000	-30009.31078548843	303.1582344358207	115	7:59:18
4.1%	815000	-30050.70974064787	300.45306570880393	115	7:59:15
4.1%	820000	-29772.26957469349	301.9841984346094	115	7:59:12
4.1%	825000	-29957.397442315734	310.88882881934	115	7:59:07
4.2%	830000	-30023.14943481225	312.11320811128974	115	7:59:03
4.2%	835000	-30021.068491749378	298.8074384058614	115	7:58:58
4.2%	840000	-29952.294156983844	296.2772561053918	115	7:58:54
4.2%	845000	-30187.162280412304	291.75074837294477	115	7:58:49
4.2%	850000	-30086.379763047415	295.4397062819888	115	7:58:46
4.3%	855000	-30205.99636327385	303.49439182611	115	7:58:41
4.3%	860000	-30284.94923299586	287.2462573828327	115	7:58:36
4.3%	865000	-29416.02272705047	303.75717502704623	115	7:58:30
4.3%	870000	-30021.614677596634	303.29445021453716	115	7:58:24
4.4%	875000	-29805.21434491026	304.4858551836141	115	7:58:17
4.4%	880000	-30171.809699178237	298.7325132855925	115	7:58:09
4.4%	885000	-30096.88675332931	304.91835593451435	115	7:58:02
4.5%	890000	-29839.298835587106	304.39333185513516	115	7:57:54
4.5%	895000	-29832.638125539146	302.4558358895843	115	7:57:48
4.5%	900000	-30061.220760085096	302.41278912755274	115	7:57:41
4.5%	905000	-29790.770967574586	296.7914701265579	115	7:57:35
4.5%	910000	-29898.143880232237	298.03562536425767	115	7:57:30
4.6%	915000	-30170.268322457327	317.32822504168735	115	7:57:24
4.6%	920000	-30004.340156150283	292.64004579435834	115	7:57:18
4.6%	925000	-29758.15132812533	299.9541207557803	115	7:57:13
4.7%	930000	-29801.06975052692	297.6560222417082	115	7:57:10
4.7%	935000	-29998.067351786565	292.54765300890926	115	7:57:04
4.7%	940000	-29826.161781131494	311.79062507857395	115	7:56:59
4.7%	945000	-30096.02237066641	293.1904070233278	115	7:56:52
4.8%	950000	-30061.604262998386	293.0773373354493	115	7:56:49
4.8%	955000	-30054.086034333857	297.6981249957976	115	7:56:44
4.8%	960000	-30127.397893182264	297.1368672321584	115	7:56:38
4.8%	965000	-30025.531303529453	295.018264308492	115	7:56:33
4.8%	970000	-29889.5783020214	309.6574665328677	115	7:56:28
4.9%	975000	-29966.806172141776	290.93504462933305	115	7:56:24
4.9%	980000	-30079.92377862928	300.3032097042964	115	7:56:16
4.9%	985000	-29767.497313285246	300.01941913712506	115	7:56:09
5.0%	990000	-29883.794807251077	296.14905866672166	115	7:56:01
5.0%	995000	-29776.776669714483	298.09013348620095	115	7:55:53
